episode,reward,throughput_Mbps,fairness
640,2.3549,0.01,0.8639
641,2.4399,0.01,0.8395
642,2.3626,0.01,0.7105
643,2.3755,0.01,0.7556
644,2.3556,0.01,0.8557
645,2.3933,0.01,0.7892
646,2.4071,0.01,0.7842
647,2.498,0.01,0.8633
648,2.3551,0.01,0.6921
649,2.3926,0.01,0.7111
650,2.3644,0.01,0.7975
651,2.3661,0.01,0.7623
652,2.2795,0.01,0.7645
653,2.3381,0.01,0.7639
654,2.3152,0.01,0.8719
655,2.4262,0.01,0.7939
656,2.3201,0.01,0.7419
657,2.4571,0.01,0.8174
658,2.4781,0.01,0.8379
659,2.3237,0.01,0.8241
660,2.4505,0.01,0.7908
661,2.3679,0.01,0.7487
662,2.4743,0.01,0.7926
663,2.403,0.01,0.8102
664,2.3952,0.01,0.8296
665,2.3798,0.01,0.7718
666,2.4493,0.01,0.8617
667,2.4318,0.01,0.7675
668,2.4357,0.01,0.7713
669,2.3928,0.01,0.78
670,2.3094,0.01,0.8018
671,2.3436,0.01,0.8324
672,2.3719,0.01,0.793
673,2.3776,0.01,0.7915
674,2.3426,0.01,0.8636
675,2.3942,0.01,0.7412
676,2.4079,0.01,0.8297
677,2.4897,0.01,0.8804
678,2.3605,0.01,0.6396
679,2.4194,0.01,0.7264
680,2.273,0.01,0.7742
681,2.3695,0.01,0.8172
682,2.37,0.01,0.7366
683,2.4163,0.01,0.876
684,2.4171,0.01,0.7958
685,2.3062,0.01,0.796
686,2.4162,0.01,0.8235
687,2.4068,0.01,0.8225
688,2.4289,0.01,0.7675
689,2.3945,0.01,0.7007
690,2.3643,0.01,0.8263
691,2.3298,0.01,0.8228
692,2.402,0.01,0.8323
693,2.3592,0.01,0.7989
694,2.3859,0.01,0.7906
695,2.4514,0.01,0.8004
696,2.4168,0.01,0.7361
697,2.4409,0.01,0.6871
698,2.2668,0.01,0.7564
699,2.3495,0.01,0.7418
700,2.3512,0.01,0.7863
701,2.3993,0.01,0.8401
702,2.3435,0.01,0.7314
703,2.4649,0.01,0.8542
704,2.3486,0.01,0.772
705,2.4413,0.01,0.8058
706,2.343,0.01,0.7813
707,2.3733,0.01,0.7204
